budgets,revenues
"
Production Co:
 Hill-Hecht-Lancaster Productions, Joanna Productions, Susan Productions 
See more »
      
","
Runtime:
105 min
"
"
Gross USA: $25,188,006, 22 March 1998
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $6,251,310,
30 July 1989, Wide Release
","
Production Co:
 Paramount Pictures, Horror Inc., Sean S. Cunningham Films 
See more »
      
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $17,654,912
        "
"
Gross USA: $11,806,119
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $101,882, 5 June 2011
"
"
Opening Weekend USA: $1,514,
8 November 2013, Limited Release
","
Production Co:
 Xstream Pictures, Office Kitano, Shanghai Film Group 
See more »
      
"
"
Budget:$2,000,000
            (estimated)
","
Production Co:
 Universal International Pictures (UI), Pakula-Mulligan, Brentwood Productions 
See more »
      
"
"
Budget:$85,000,000
            (estimated)
","
Gross USA: $62,514,415, 7 September 2006
"
"
Budget:$29,000,000
            (estimated)
","
Gross USA: $6,303,762, 18 December 2005
"
"
Opening Weekend USA: $159,819,
26 September 2004, Limited Release
","
Production Co:
 FilmFour, Wildwood Enterprises, Tu Vas Voir Productions 
See more »
      
"
"
Gross USA: $8,266,343
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $17,393, 30 September 2007
","
  Show more on
  IMDbPro »
  "
"
Budget:$445,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $18,298,649, 6 November 2011
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
DTS
"
"
Opening Weekend USA: $3,142,689,
27 July 1980, Wide Release
","
Production Co:
 Orion Pictures 
See more »
      
"
"
Gross USA: $35,610,100
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$1,500,000
            (estimated)
","
Gross USA: $779,820, 30 October 2016
"
"
Opening Weekend USA: $3,880,688,
23 February 2003, Wide Release
","
Production Co:
 Alphaville Films, Cosmic Pictures, IM Filmproduktion 
See more »
      
"
"
Gross USA: $10,281,585, 19 March 2006
","
  Show more on
  IMDbPro »
  "
"
Budget:$43,000,000
            (estimated)
","
Gross USA: $47,806,295, 23 October 2005
"
"
Opening Weekend USA: $7,393,361,
11 July 2012, Wide Release
","
Production Co:
 Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Opening Weekend USA: $6,661,234,
11 March 2012, Wide Release
","
Production Co:
 Elle Driver, Tazora Films 
See more »
      
"
"
Opening Weekend USA: $24,642,539,
11 June 1995, Limited Release
","
Cumulative Worldwide Gross: $152,022,101
        "
"
Gross USA: $106,260,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $74,907,
19 July 1996
","
Cumulative Worldwide Gross: $39,748,899
        "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $17,445,186, 27 June 2017
"
"
Gross USA: $50,081,992
        ","
Production Co:
 Canal+, Regency Enterprises, Alcor Films 
See more »
      
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $70,099,045, 28 May 2012
"
"
Production Co:
 R&C Produzioni, Films Balenciaga, Les, Films Balenciaga, Les 
See more »
      
","
Runtime:
106 min
"
"
Opening Weekend USA: $1,839,000,
12 July 1996
","
Production Co:
 Hachette Première, Canal+, Centre Européen Cinématographique Rhône-Alpes 
See more »
      
"
"
Opening Weekend: £136,413
            (United Kingdom),
2 November 2008, Limited Release
","
Gross USA: $154,084, 7 June 2009
"
"
Opening Weekend USA: $587,591,
14 October 2001, Limited Release
","
Cumulative Worldwide Gross: $20,112,339
        "
"
Aspect Ratio: 2.35 : 1
    ",0
"
Gross USA: $2,106, 13 May 2012
","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Ren Film 
See more »
      
","
Runtime:
158 min
"
"
Budget:€5,000,000
            (estimated)
","
Production Co:
 Toro Pictures, El, Lightbox Entertainment, Ikiru Films 
See more »
      
"
"
Budget:$6,000,000
            (estimated)
","
Gross USA: $46,616,067
        "
"
Opening Weekend USA: $1,912,421,
30 September 1990, Wide Release
","
Production Co:
 Vision PDG, Epic Productions, Trans World Entertainment (TWE) 
See more »
      
"
"
Budget:$58,000,000
            (estimated)
","
Gross USA: $170,742,341
        "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Opening Weekend USA: $2,603,370,
30 September 2012, Wide Release
","
Production Co:
 Walden Media, Gran Via Productions, Lemodeln Model & Talent Agency 
See more »
      
"
"
Production Co:
 Camasirhane, Gaya Film 
See more »
      
","
Runtime:
117 min
"
"
Opening Weekend USA: $106,578,
4 May 2014, Limited Release
","
Cumulative Worldwide Gross: $16,538,759
        "
"
Budget:$31,000,000
            (estimated)
","
Gross USA: $11,854,694, 7 February 2010
"
"
Budget:$72,000,000
            (estimated)
","
Gross USA: $75,600,000
        "
"
Budget:$14,000,000
            (estimated)
","
Opening Weekend USA: $198,802,
18 June 1999
"
"
Gross USA: $34,562,222
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$75,000,000
            (estimated)
","
Gross USA: $41,575,141
        "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $20,422,207, 12 September 2004
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $25,020,758
        "
"
Gross USA: $43,184,798
        ","
Production Co:
 Rastar Pictures 
See more »
      
"
"
Budget:$93,000,000
            (estimated)
","
Gross USA: $315,544,750, 14 June 2011
"
