budgets,revenues
"
Budget:$500,000
            (estimated)
","
Gross USA: $11,276, 17 January 2010
"
"
Gross USA: $80,000,000
        ","
Production Co:
 Barwood Films, First Artists, Winters Hollywood Entertainment Holdings Corporation 
See more »
      
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $3,148,482, 28 June 2009
"
"
Budget:$150,000,000
            (estimated)
","
Gross USA: $206,852,432, 19 July 2012
"
"
Budget:€14,500,000
            (estimated)
","
Gross USA: $497,208
        "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $35,608,245
        "
"
Gross USA: $1,305,887
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $8,284,989,
16 May 2010, Wide Release
","
Production Co:
 Fox Searchlight Pictures, Flavor Unit Entertainment, Dune Entertainment 
See more »
      
"
"
Production Co:
 Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Productions 
See more »
      
","
Runtime:
120 min
"
"
Budget:$28,000,000
            (estimated)
","
Gross USA: $14,415,222, 22 October 2006
"
"
Gross USA: $9,797,098
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $625,526,
21 February 2016, Limited Release
","
Production Co:
 Bling Unplugged, Fox STAR Studios 
See more »
      
"
"
Opening Weekend USA: $4,603,121,
20 August 2006, Wide Release
","
Production Co:
 Metro-Goldwyn-Mayer (MGM), Maverick Films, Rafter H Entertainment 
See more »
      
"
"
Opening Weekend USA: $28,030,
9 April 2000, Limited Release
","
Production Co:
 Gaumont, Gaumont Production, Australian Film Finance Corporation (AFFC) 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $1,029, 15 August 2016
"
"
Budget:$355,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Budget:$54,000,000
            (estimated)
","
Gross USA: $66,666,062
        "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $7,222,964, 3 March 2017
"
"
Opening Weekend USA: $978,819,
16 November 1997, Limited Release
","
Cumulative Worldwide Gross: $5,600,000, 4 January 1998
"
"
Opening Weekend USA: $414,211,
23 June 2013, Limited Release
","
Cumulative Worldwide Gross: INR 1,000,000,000, 23 July 2013
"
"
Opening Weekend USA: $11,507,
9 January 2004, Limited Release
","
Production Co:
 Charles Chaplin Productions 
See more »
      
"
"
Budget:$6,000,000
            (estimated)
","
Opening Weekend USA: $142,899,
1 October 2006, Limited Release
"
"
Opening Weekend USA: $1,131,094,
28 January 1996
","
Production Co:
 Morgan Creek Entertainment, Lee Rich Productions 
See more »
      
"
"
Production Co:
 Screen Ireland, Apollo Media, Ferndale Films 
See more »
      
","
Runtime:
108 min
"
"
Opening Weekend USA: $7,170,830,
16 March 1986
","
Production Co:
 Paramount Pictures 
See more »
      
"
"
Budget:€1,656,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $182,943,
4 October 2009, Limited Release
","
Production Co:
 Harvey Mason Media, St. V, SpringHill Entertainment 
See more »
      
"
"
Budget:£7,000,000
            (estimated)
","
Opening Weekend USA: $58,940,
19 October 2003, Limited Release
"
"
Opening Weekend USA: $46,312,454,
17 March 2002, Wide Release
","
Cumulative Worldwide Gross: $383,257,136
        "
"
Production Co:
 Mandeville Films, Inferno Distribution, Be Good Productions 
See more »
      
","
Runtime:
100 min
"
"
Gross USA: $9,134,733
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$24,000,000
            (estimated)
","
Gross USA: $13,903,262, 17 February 2002
"
"
Budget:$17,000,000
            (estimated)
","
Gross USA: $54,239,856, 9 June 2013
"
"
Color:
Color
",0
"
Opening Weekend USA: $60,884,
4 October 2015, Limited Release
","
Production Co:
 Fox Searchlight Pictures, Imagenation Abu Dhabi FZ, Participant Media 
See more »
      
"
"
Gross USA: $221,415, 30 July 2006
","
  Show more on
  IMDbPro »
  "
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $1,000,045, 24 November 2007
"
"
Budget:$151,000
            (estimated)
","
Production Co:
 Melina Film 
See more »
      
"
"
Production Co:
 Film Four International, Beambright 
See more »
      
","
Runtime:
108 min
"
"
Budget:$88,000,000
            (estimated)
","
Gross USA: $61,649,911
        "
"
Opening Weekend USA: $7,612,008,
15 January 2006, Wide Release
","
Production Co:
 Twentieth Century Fox, Scott Free Productions, ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I) 
See more »
      
"
"
Gross USA: $1,647,083, 6 September 2009
","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
"
"
Budget:$8,000,000
            (estimated)
","
Gross USA: $3,054,430, 16 September 2007
"
"
Gross USA: $10,400,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $71,628,180
        "
"
Opening Weekend USA: $12,307,128,
4 May 1997, Wide Release
","
Production Co:
 Dino De Laurentiis Company, Paramount Pictures, Spelling Films 
See more »
      
"
"
Opening Weekend USA: $477,539,
24 November 1985, Limited Release
","
Production Co:
 Columbia Pictures, New Visions, Delphi IV Productions 
See more »
      
"
"
Budget:$55,000,000
            (estimated)
","
Gross USA: $21,283,440, 13 November 2011
"
"
Opening Weekend USA: $2,087,011,
19 April 1998, Wide Release
","
Production Co:
 Morgan Creek Entertainment, Warner Bros. 
See more »
      
"
"
Budget:$13,000,000
            (estimated)
","
Gross USA: $25,682,380
        "
"
Opening Weekend USA: $61,136,
22 January 2012, Limited Release
","
Cumulative Worldwide Gross: $1,072,602, 12 August 2012
"
"
Budget:$200,000,000
            (estimated)
","
Gross USA: $334,191,110
        "
"
Budget:$57,000,000
            (estimated)
","
Gross USA: $51,774,002
        "
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $51,580,136
        "
"
Color:
Color
",0
"
Gross USA: $49,579,269, 31 December 1978
","
  Show more on
  IMDbPro »
  "
"
Runtime:
105 min
","
Trivia
    Won, Best Actress, Nora Aunor, 3rd Sakhalin International Film Festival ""On the Edge"".        See more  »
    "
"
Opening Weekend USA: $1,453,844,
30 November 2008, Limited Release
","
Cumulative Worldwide Gross: $57,293,371
        "
"
Opening Weekend USA: $597,362,
21 April 2002, Limited Release
","
Cumulative Worldwide Gross: $368,744,044
        "
"
Production Co:
 Working Title Films, Film Council, WT2 Productions 
See more »
      
","
Runtime:
94 min
"
"
Opening Weekend USA: $2,847,690,
24 March 1989, Limited Release
","
Production Co:
 Lorimar Film Entertainment 
See more »
      
"
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $16,295,774
        "
"
Opening Weekend USA: $67,548,
17 June 2011, Limited Release
","
Production Co:
 Back Allie Productions, Cedar Creek Productions, Motto Pictures 
See more »
      
"
"
Opening Weekend USA: $3,871,616,
15 August 1999, Wide Release
","
Production Co:
 Fox 2000 Pictures, Adam Fields Productions, Twentieth Century Fox 
See more »
      
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $55,001,642
        "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
(Westrex Recording System) (uncredited)    "
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $65,328,121, 19 October 2006
"
"
Opening Weekend USA: $3,450,536,
12 April 1985, Limited Release
","
Production Co:
 Twentieth Century Fox, Warner Bros. 
See more »
      
"
"
Gross USA: $14,522,427, 3 December 2006
","
  Show more on
  IMDbPro »
  "
"
Budget:INR 600,000,000
            (estimated)
","
Production Co:
 A.V.M. Productions, AvM Studio 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Opening Weekend USA: $1,831,588,
9 September 2012, Wide Release
"
"
Opening Weekend USA: $10,148,
23 March 2014, Limited Release
","
Cumulative Worldwide Gross: $76,933
        "
"
Budget:$185,000,000
            (estimated)
","
Gross USA: $317,101,119, 16 June 2012
"
"
Gross USA: $14,134,877
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $110,332,737, 26 February 2006
"
"
Budget:$16,000,000
            (estimated)
","
Gross USA: $92,823,600
        "
"
Budget:$250,000,000
            (estimated)
","
Opening Weekend USA: $160,887,295,
22 July 2012, Wide Release
"
"
Budget:$31,000,000
            (estimated)
","
Gross USA: $87,100,000
        "
"
Budget:$9,600,000
            (estimated)
","
Gross USA: $2,541,554, 7 February 2016
"
"
Opening Weekend USA: $19,926,
4 November 2012, Limited Release
","
Production Co:
 Automatik, Haunted Movies, Hydraulx 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Stereo
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
(Dolby 5.1)    "
"
Opening Weekend: $2,850,000
            (China),
1 July 2013
","
Gross USA: $100,144, 7 November 2013
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $50,007,168, 15 June 1997
"
"
Opening Weekend USA: $1,233,519,
12 August 2016, Limited Release
","
Cumulative Worldwide Gross: $5,216,625, 31 March 2017
"
"
Production Co:
 C&I Entertainment, IMJ Entertainment, RoC Works Co. 
See more »
      
","
Runtime:
134 min
"
"
Opening Weekend USA: $4,706,795,
11 April 1999, Wide Release
","
Production Co:
 Columbia Pictures, Banner Entertainment, Saratoga Entertainment 
See more »
      
"
"
Gross USA: $3,662,459
        ","
  Show more on
  IMDbPro »
  "
"
Runtime:
139 min
","
Aspect Ratio: 2.35 : 1
    "
"
Gross USA: $3,832,228
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $2,683,519
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$3,000,000
            (estimated)
","
Gross USA: $11,642,254
        "
"
Gross USA: $35,348,597
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $34,047,
22 September 1991, Limited Release
","
Production Co:
 Columbia Pictures, Mico, Mount Film Group 
See more »
      
"
"
Runtime:
86 min
","
Aspect Ratio: 2.35 : 1
    "
"
Opening Weekend USA: $5,337,
21 March 2014, Limited Release
","
Production Co:
 Occupant Entertainment, Altus Productions, Aegis Film Fund 
See more »
      
"
"
Opening Weekend USA: $14,252,888,
28 February 1999, Wide Release
","
Cumulative Worldwide Gross: $96,618,699
        "
"
Budget:$195,000,000
            (estimated)
","
Gross USA: $65,187,603
        "
"
Gross USA: $438, 14 July 2013
","
  Show more on
  IMDbPro »
  "
"
Budget:$5,000,000
            (estimated)
","
Gross USA: $42,365,581
        "
"
Budget:$26,000,000
            (estimated)
","
Gross USA: $47,811,138, 31 July 2003
"
"
Runtime:
94 min
","
Trivia
    This movie is direction of documentary film-maker 'Sharmeen Obaid Chinoy' who won an Academy award for her documentary 'Saving Face'.        See more  »
    "
"
Budget:$57,000,000
            (estimated)
","
Gross USA: $58,055,768
        "
"
Budget:$163,000,000
            (estimated)
","
Gross USA: $100,240,551, 3 November 2011
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $92,029,184, 27 April 2017
"
"
Production Co:
 RKO Pictures, Interaccess Film Distribution 
See more »
      
","
Runtime:
93 min
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Production Co:
 National Arts Films Production, Emperor Film Production, Prosperity Pictures 
See more »
      
","
Runtime:
100 min
"
"
Opening Weekend USA: $60,
15 November 2013, Limited Release
","
Production Co:
 KODA Entertainment 
See more »
      
"
"
Gross USA: $931,000
        ","
Production Co:
 Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Opening Weekend USA: $6,011,585,
30 April 2006, Wide Release
","
Production Co:
 Out of the Blue... Entertainment, Reactor Films, Cinema Gypsy Productions 
See more »
      
"
"
Budget:$180,000,000
            (estimated)
","
Gross USA: $241,410,378
        "
"
Budget:$2,000,000
            (estimated)
","
Gross USA: $1,361,423, 3 August 2014
"
"
Opening Weekend USA: $717,061,
13 October 2002, Limited Release
","
Cumulative Worldwide Gross: $28,023,563
        "
"
Production Co:
 CJ Entertainment, Doosabu Film, Polygon Entertainment 
See more »
      
","
Runtime:
120 min
|
129 min
            (director's cut)
          |
103 min
            (international)
    "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $42,436,517, 3 April 2008
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $67,631,157, 6 March 2011
"
"
Gross USA: $124,693
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$44,000,000
            (estimated)
","
Gross USA: $150,415,432
        "
"
Opening Weekend USA: $1,324,456,
20 April 1986, Limited Release
","
Production Co:
 Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Gross USA: $8,251,071
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $213,370,
26 July 1996
","
Production Co:
 Universal Pictures, American Films, The Bubble Factory 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
"
"
Opening Weekend: €2,806,187
            (Italy),
22 April 2012, Limited Release
","
Gross USA: $16,685,867
        "
"
Gross USA: $1,982,505, 26 June 2016
","
  Show more on
  IMDbPro »
  "
"
Budget:$13,000,000
            (estimated)
","
Gross USA: $1,830,475, 15 July 2012
"
"
Gross USA: $1,301,696, 11 October 2015
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend: €874,371
            (Italy),
4 January 2004, Limited Release
","
  Show more on
  IMDbPro »
  "
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $84,351,197
        "
"
Gross USA: $32,945,797
        ","
Production Co:
 Universal Pictures, Amblin Entertainment 
See more »
      
"
"
Production Co:
 Constantin Film International, Constantin Film, Red Balloon Films 
See more »
      
","
Runtime:
115 min
"
"
Budget:$250,000,000
            (estimated)
","
Opening Weekend USA: $77,835,727,
19 July 2009, Wide Release
"
"
Budget:$19,000,000
            (estimated)
","
Gross USA: $65,807,024
        "
"
Opening Weekend USA: $8,418,
10 March 2013, Limited Release
","
Production Co:
 Diaphana Films, Morena Films, El Monje La Pelicula AIE 
See more »
      
"
"
Opening Weekend USA: $64,870,
11 January 2004, Limited Release
","
Production Co:
 Casbah Film, Igor Film 
See more »
      
"
"
Opening Weekend USA: $12,837,927,
16 February 1997, Wide Release
","
Production Co:
 Warner Bros., Jerry Weintraub Productions 
See more »
      
"
"
Opening Weekend USA: $164,985,
3 May 2015, Limited Release
","
Production Co:
 Fox Searchlight Pictures, BBC Films, TSG Entertainment 
See more »
      
"
"
Budget:$3,000,000
            (estimated)
","
Cumulative Worldwide Gross: $42,300,000
        "
"
Budget:$48,000,000
            (estimated)
","
Gross USA: $64,506,874, 18 September 2008
"
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $103,068,524
        "
"
Production Co:
 Nadiadwala Grandson Entertainment 
See more »
      
","
Runtime:
146 min
"
"
Opening Weekend USA: $41,855,326,
21 July 2013, Wide Release
","
Cumulative Worldwide Gross: $318,000,141
        "
"
Budget:$8,500,000
            (estimated)
","
Production Co:
 Warner Bros., Wildwood, Wildwood Enterprises 
See more »
      
"
"
Budget:$11,000,000
            (estimated)
","
Gross USA: $50,474,843
        "
"
Budget:$17,000,000
            (estimated)
","
Gross USA: $33,000,000
        "
"
Opening Weekend USA: $9,106,906,
19 September 2010, Wide Release
","
Production Co:
 Lions Gate Family Entertainment, Crest Animation Productions, Relativity Media 
See more »
      
"
"
Opening Weekend USA: $11,516,712,
5 November 2000, Wide Release
","
Production Co:
 Twentieth Century Fox, DreamWorks, Epsilon Motion Pictures 
See more »
      
"
"
Color:
Color
",0
"
Gross USA: $14,276,317, 14 January 2000
","
Production Co:
 Gaumont, Okko Productions 
See more »
      
"
"
Production Co:
 New Century Entertainment Corporation, Vista Organization, Russkies 
See more »
      
","
Sound Mix:
Ultra Stereo
"
"
Opening Weekend USA: $33,435,140,
25 July 1999, Wide Release
","
Cumulative Worldwide Gross: $177,311,151
        "
"
Opening Weekend USA: $109,694,
1 October 2000, Limited Release
","
Production Co:
 Banner Entertainment, Meanwhile Films 
See more »
      
"
"
Production Co:
 Telecinco Cinema, Vaca Films, Morena Films 
See more »
      
","
Runtime:
96 min
"
"
Gross USA: $61,490,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $17,616,641
        "
"
Opening Weekend USA: $4,130,
1 July 2011, Limited Release
","
Production Co:
 Life Sentence Films 
See more »
      
"
"
Opening Weekend USA: $540,148,
29 October 1989, Limited Release
","
Production Co:
 Amblin Entertainment, Ubu Productions 
See more »
      
"
"
Budget:$15,700,000
            (estimated)
","
Gross USA: $6,008,677
        "
"
Opening Weekend USA: $357,468,
23 December 1992, Limited Release
","
Cumulative Worldwide Gross: $134,895,607
        "
"
Opening Weekend USA: $872,950,
24 August 2003, Wide Release
","
Production Co:
 Paramount Pictures, Scott Rudin Productions, Munich Film Partners New Century & Company (MFP) HAM Productions 
See more »
      
"
"
Opening Weekend: £115,332
            (United Kingdom),
12 December 2003, Limited Release
","
Gross USA: $4,593,598
        "
"
Gross USA: $38,449, 8 November 2015
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $3,884,760
        ","
Production Co:
 RKO Radio Pictures 
See more »
      
"
"
Budget:$22,000,000
            (estimated)
","
Production Co:
 Columbia Pictures, Industrial Light & Magic (ILM), Delphi II Productions 
See more »
      
"
"
Gross USA: $25,895,485
        ","
Production Co:
 Universal Pictures, The Badham-Cohen Group 
See more »
      
"
"
Budget:JPY 600,000,000
            (estimated)
","
Production Co:
 Tatsunoko Production, Shochiku, Progressive Pictures 
See more »
      
"
"
Opening Weekend: JPY 624,610,700
            (Japan),
31 July 2016, Limited Release
","
Gross USA: $1,908,028, 6 November 2016
"
"
Budget:$1,200,000
            (estimated)
","
Gross USA: $56,000,369
        "
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $104,297,061
        "
"
Gross USA: $17,808, 27 July 1997
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $43,878,334
        ","
  Show more on
  IMDbPro »
  "
"
Budget:€10,500,000
            (estimated)
","
Gross USA: $5,000, 1 March 2015
"
"
Gross USA: $21,284,514
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $159,171, 13 February 2005
","
  Show more on
  IMDbPro »
  "
"
Budget:$1,000,000
            (estimated)
","
Gross USA: $4,231,500, 12 September 2014
"
"
Opening Weekend USA: $16,712,020,
7 November 1999, Wide Release
","
Cumulative Worldwide Gross: $151,493,655
        "
"
Budget:$2,000,000
            (estimated)
","
Gross USA: $30
        "
"
Runtime:
60 min
","
Aspect Ratio: 16:9 HD
    "
"
Opening Weekend USA: $6,750,837,
3 August 1986
","
Production Co:
 Paramount Pictures, Sean S. Cunningham Films, Terror Films Inc. 
See more »
      
"
"
Opening Weekend USA: $6,454,752,
26 December 1993
","
Production Co:
 Hollywood Pictures, Cinergi Pictures Entertainment, Alphaville Films 
See more »
      
"
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $110,212,700
        "
"
Opening Weekend USA: $9,119,111,
30 June 1985, Wide Release
","
Production Co:
 The Malpaso Company 
See more »
      
"
"
Budget:$17,000,000
            (estimated)
","
Gross USA: $65,001,093
        "
"
Production Co:
 TriStar Pictures 
See more »
      
","
Runtime:
114 min
"
"
Opening Weekend USA: $8,772,
16 October 2011, Limited Release
","
Production Co:
 Anchor Bay Films, Blue Light, Infinity Media 
See more »
      
"
"
Production Co:
 Sri Sathya Sai Movies, Sri Surya Films 
See more »
      
","
Runtime:
157 min
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $52,330,111
        "
"
Budget:$26,000,000
            (estimated)
","
Gross USA: $13,248,477, 14 November 2010
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $66,486,205
        "
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $3,818,664
        "
"
Production Co:
 Aquarium of the Americas, Cosmonova Omnitheater, Swedish Museum of Natural History, Stockholm, Fort Worth Museum of Science and History 
See more »
      
","
Runtime:
40 min
"
"
Budget:$45,000,000
            (estimated)
","
Gross USA: $60,652,036
        "
"
Production Co:
 East Japan Marketing & Communications Inc., GAME FREAK, Oriental Light and Magic (OLM) 
See more »
      
","
Runtime:
72 min
"
"
Gross USA: $19,910,002
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $140,034,
19 August 1979, Limited Release
","
Cumulative Worldwide Gross: $36,045,115
        "
"
Production Co:
 Lagniappe Films, I'm So Sorry Productions 
See more »
      
","
Runtime:
89 min
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $56,692, 13 May 2012
"
"
Production Co:
 The Ladd Company 
See more »
      
","
Runtime:
103 min
"
"
Production Co:
 Australian Film Finance Corporation (AFFC), Latent Image Productions Pty. Ltd., New South Wales Film & Television Office 
See more »
      
","
Sound Mix:
Dolby
"
"
Opening Weekend USA: $18,612,190,
14 May 1995, Wide Release
","
Cumulative Worldwide Gross: $66,000,000
        "
"
Budget:$1,800,000
            (estimated)
","
Gross USA: $12,795,746
        "
"
Opening Weekend USA: $69,055,
28 December 2008, Limited Release
","
Production Co:
 Bridgit Folman Film Gang, Les Films d'Ici, Razor Film Produktion GmbH 
See more »
      
"
"
Opening Weekend: €1,199,793
            (Spain),
21 March 2004, Limited Release
","
Gross USA: $5,211,842, 24 April 2005
"
"
Gross USA: $29,205,077, 17 August 1997
","
  Show more on
  IMDbPro »
  "
"
Production Co:
 BHE Films, Verona Produzione, Dino de Laurentiis Cinematografica 
See more »
      
","
Runtime:
138 min
|
149 min
            (initial release)
    "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $30,127,963, 31 October 2014
"
"
Gross USA: $795,562
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $13,205,
31 December 2006, Limited Release
","
Cumulative Worldwide Gross: $35,000,000
        "
"
Budget:$135,000,000
            (estimated)
","
Gross USA: $82,051,601
        "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Production Co:
 Quinta Communications, Prima TV, Carthago Films S.a.r.l. 
See more »
      
","
Runtime:
130 min
"
"
Budget:$56,000,000
            (estimated)
","
Gross USA: $113,086,868
        "
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $173,008,894, 2 June 2005
"
"
Production Co:
 Jolly Russell Productions 
See more »
      
","
Runtime:
89 min
"
"
Budget:$22,000,000
            (estimated)
","
Production Co:
 Film Direction, Dago Productions 
See more »
      
"
"
Opening Weekend USA: $7,602,740,
20 September 1987, Wide Release
","
Cumulative Worldwide Gross: $163,500,000
        "
"
Gross USA: $1,519,796
        ","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
DTS
| Dolby Digital
| SDDS
"
"
Opening Weekend USA: $10,061,132,
23 July 2006, Wide Release
","
Production Co:
 The Weinstein Company, View Askew Productions 
See more »
      
"
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $80,070,736
        "
"
Budget:$68,000,000
            (estimated)
","
Gross USA: $29,655,590, 3 October 1999
"
"
Production Co:
 Universal Pictures, Mirage Enterprises, Double Play 
See more »
      
","
Runtime:
103 min
"
"
Opening Weekend USA: $4,649,742,
9 November 1997, Wide Release
","
Production Co:
 Warner Bros., Arnold Kopelson Productions, Punch Productions 
See more »
      
"
"
Color:
Color
",0
"
Opening Weekend USA: $130,411,
7 June 2009, Limited Release
","
Production Co:
 Focus Features, Edward Saxon Productions (ESP), Big Beach Films 
See more »
      
"
"
Opening Weekend USA: $181,
6 May 2012, Limited Release
","
Production Co:
 Louisiana Entertainment Screen Services - L.E.S.S., Motion Picture Corporation of America (MPCA), Stage 6 Films 
See more »
      
"
"
Budget:$2,500,000
            (estimated)
","
Gross USA: $75,727, 21 June 2009
"
"
Opening Weekend USA: $18,445,355,
17 June 2011, Wide Release
","
Cumulative Worldwide Gross: $189,624,452
        "
"
Budget:$3,000,000
            (estimated)
","
Gross USA: $1,108,462
        "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $51,185,897
        "
"
Opening Weekend USA: $149,460,
20 November 1987, Limited Release
","
Production Co:
 Recorded Picture Company (RPC), Hemdale, Yanco Films Limited 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$1,200,000
            (estimated)
","
Gross USA: $1,404, 4 February 2001
"
"
Budget:$180,000,000
            (estimated)
","
Gross USA: $291,709,845, 7 May 2006
"
"
Opening Weekend USA: $12,254,
10 January 2010, Limited Release
","
Production Co:
 Bombshell Pictures, IM Global 
See more »
      
"
"
Budget:$85,000,000
            (estimated)
","
Gross USA: $117,154,724
        "
"
Opening Weekend: $1,324,693
            (France),
19 November 2004
","
Gross USA: $1,197,786, 27 August 2006
"
"
Gross USA: $51,079,064, 31 December 1977
","
  Show more on
  IMDbPro »
  "
"
Production Co:
 De Laurentiis Entertainment Group (DEG), Indian Neck 
See more »
      
","
Runtime:
111 min
"
"
Budget:$2,900,000
            (estimated)
","
Gross USA: $5,595,428, 11 July 1999
"
"
Budget:$20,000,000
            (estimated)
","
Opening Weekend USA: $181,910,
30 March 2008, Limited Release
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $488,872, 22 August 2004
"
"
Opening Weekend USA: $64,770,
8 October 2000, Limited Release
","
Cumulative Worldwide Gross: $7,390,108
        "
"
Budget:$4,500,000
            (estimated)
","
Gross USA: $103,280, 26 September 2010
"
"
Opening Weekend USA: $7,656,
8 February 2004, Limited Release
","
Production Co:
 Captured Light, Lord of the Wind 
See more »
      
"
"
Budget:$800,000
            (estimated)
","
Gross USA: $41,709, 26 July 2009
"
"
Gross USA: $15,324, 30 March 2014
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $1,471,595,
10 August 1980, Limited Release
","
Production Co:
 Universal Pictures 
See more »
      
"
"
Budget:$1,000,000
            (estimated)
","
Gross USA: $18,474,268, 13 October 2013
"
"
Opening Weekend: $122,403
            (Belgium),
21 May 2014, Limited Release
","
Gross USA: $1,436,243
        "
"
Opening Weekend USA: $18,554,948,
23 December 2001, Wide Release
","
Cumulative Worldwide Gross: $102,992,536
        "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $65,207,127
        "
"
Gross USA: $585,640, 31 October 2014
","
  Show more on
  IMDbPro »
  "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $47,811,275, 7 April 2002
"
"
Gross USA: $254,190, 22 October 2006
","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Production Co:
 Heritage Entertainment Inc., Showcase Productions International, The Samuel Goldwyn Company 
See more »
      
","
Runtime:
93 min
"
"
Opening Weekend USA: $29,002,002,
24 September 2006, Wide Release
","
Cumulative Worldwide Gross: $85,000,000, 22 October 2013
"
"
Opening Weekend USA: $6,479,
27 December 1998, Limited Release
","
Production Co:
 Canal+ España, Iberoamericana Films Producción, Sociedad General de Televisión (Sogetel) 
See more »
      
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $12,547,189, 27 September 2015
"
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $25,442,958
        "
"
Opening Weekend USA: $501,290,
28 February 2014, Limited Release
","
Production Co:
 Tommy 2.0 LLC, Codeblack Entertainment, Forest Whitaker's Significant Productions 
See more »
      
"
"
Color:
Color
",0
"
Budget:$6,000,000
            (estimated)
","
Gross USA: $134,966,411, 11 May 1997
"
"
Opening Weekend USA: $12,778,913,
10 December 2006
","
Cumulative Worldwide Gross: $205,135,324
        "
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $106,600,000
        "
"
Budget:$10,000,000
            (estimated)
","
Opening Weekend USA: $287,452,
6 August 2000, Limited Release
"
"
Cumulative Worldwide Gross: $90,000,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$38,000,000
            (estimated)
","
Gross USA: $46,813,366, 10 April 2016
"
"
Gross USA: $40,590,000
        ","
  Show more on
  IMDbPro »
  "
"
Runtime:
82 min
","
Color:
Color
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Stereo
"
"
Budget:$27,000,000
            (estimated)
","
Gross USA: $14,859,394
        "
